,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,Baleset típus főcsoport,Súlyosság,geometry
0,2,2012-01-01,2012,Budapest VIII. kerület,fiumei út,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4956861111111,19.0842722222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0842722222222 47.4956861111111)
1,15,2012-01-03,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,egyéb,47.4962444444444,19.0704333333333,0,0,1,2,gyalogos,1.0,POINT (19.0704333333333 47.4962444444444)
2,20,2012-01-04,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4927416666667,19.0710083333333,0,0,1,2,gyalogos,1.0,POINT (19.0710083333333 47.4927416666667)
3,26,2012-01-06,2012,Budapest VIII. kerület,nap utca,vajdahunyad utca,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4878444444444,19.0763944444444,0,0,1,1,gyalogos,1.0,POINT (19.0763944444444 47.4878444444444)
4,81,2012-01-15,2012,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4895555555556,19.070525,0,0,1,2,gyalogos,1.0,POINT (19.070525 47.4895555555556)
5,93,2012-01-17,2012,Budapest VIII. kerület,szerdahelyi utca,karácsony sándor utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",sebesség nem megfelelő alkalmazása,elsőbbségadásnál,47.4921944444444,19.082025,0,0,1,3,jármű-jármű,1.0,POINT (19.082025 47.4921944444444)
6,170,2012-01-25,2012,Budapest VIII. kerület,baross utca,vajdahunyad utca,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.48966666666671,19.073025,0,0,1,2,jármű-jármű,1.0,POINT (19.073025 47.48966666666671)
7,179,2012-01-26,2012,Budapest VIII. kerület,józsef körút,baross utca,súlyos sérüléses,"Gyalogos elütése az úttesten, tömegközlekedési jármű megállójában",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4894444444444,19.0706083333333,0,1,0,2,gyalogos,5.0,POINT (19.0706083333333 47.4894444444444)
8,197,2012-01-29,2012,Budapest VIII. kerület,német utca,baross utca,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4897722222222,19.0742472222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0742472222222 47.4897722222222)
9,198,2012-01-30,2012,Budapest VIII. kerület,leonardo da vinci utca,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4869361111111,19.0774472222222,0,0,1,2,gyalogos,1.0,POINT (19.0774472222222 47.4869361111111)
