,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport
0,2,2012-01-01,2012,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4956861111111,19.0842722222222,0,0,1,2,POINT (652774.8035124071 239083.86153435794),gyalogos
1,15,2012-01-03,2012,Budapest VIII. kerďż˝let,Blaha Lujza,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,egyéb,47.4962444444444,19.0704333333333,0,0,1,2,POINT (651732.0782501437 239145.55053422853),gyalogos
2,20,2012-01-04,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4927416666667,19.0710083333333,0,0,1,2,POINT (651775.5136283527 238756.1405311049),gyalogos
3,26,2012-01-06,2012,Budapest VIII. kerďż˝let,Nap,Vajdahunyad,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4878444444444,19.0763944444444,0,0,1,1,POINT (652181.5530541653 238211.82162363426),gyalogos
4,81,2012-01-15,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4895555555556,19.070525,0,0,1,2,POINT (651739.1937311282 238401.9137501973),gyalogos
5,93,2012-01-17,2012,Budapest VIII. kerďż˝let,Szerdahelyi,Karďż˝csony Sďż˝ndor,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",sebesség nem megfelelő alkalmazása,elsőbbségadásnál,47.4921944444444,19.082025,0,0,1,3,POINT (652605.6499496798 238695.5997251498),jármű-jármű
6,170,2012-01-25,2012,Budapest VIII. kerďż˝let,Baross,Vajdahunyad,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.48966666666671,19.073025,0,0,1,2,POINT (651927.5772120282 238414.32245441785),jármű-jármű
7,179,2012-01-26,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,Baross,súlyos sérüléses,"Gyalogos elütése az úttesten, tömegközlekedési jármű megállójában",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4894444444444,19.0706083333333,0,1,0,2,POINT (651745.4767912133 238389.5627260215),gyalogos
8,197,2012-01-29,2012,Budapest VIII. kerďż˝let,Nďż˝met,Baross,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4897722222222,19.0742472222222,0,0,1,2,POINT (652019.6736436381 238426.0871346269),jármű-jármű
9,198,2012-01-30,2012,Budapest VIII. kerďż˝let,Leonardo Da Vinci,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4869361111111,19.0774472222222,0,0,1,2,POINT (652260.9249197177 238110.86639072886),jármű-jármű
